@relation horse-colic-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.attribute.Discretize-Rfirst-last

@attribute surgery {yes,no}
@attribute Age {adult,young}
@attribute rectal_temperature {'\'All\''}
@attribute pulse {'\'(-inf-58]\'','\'(58-inf)\''}
@attribute respiratory_rate {'\'All\''}
@attribute temp_extremities {normal,warm,cool,cold}
@attribute peripheral_pulse {normal,increased,reduced,absent}
@attribute mucous_membranes {'normal pink','bright pink','pale pink','pale cyanotic','bright red','dark cyanotic'}
@attribute capillary_refill_time {<3,>=3,'meaning unknown'}
@attribute pain {'alert no pain',depressed,'intermittent mild pain','intermittent severe pain','continuous severe pain'}
@attribute peristalsis {hypermotile,normal,hypomotile,absent}
@attribute abdominal_distension {none,slight,moderate,severe}
@attribute nasogastric_tube {none,slight,significant}
@attribute nasogastric_reflux {none,>1l,<1l}
@attribute nasogastric_reflux_PH {'\'All\''}
@attribute rectal_examination {normal,increased,decreased,absent}
@attribute abdomen {normal,other,'firm feces in large intestine','distended small intestine','distended large intestine'}
@attribute packed_cell_volume {'\'All\''}
@attribute total_protein {'\'All\''}
@attribute abdominocentesis_appearance {clear,cloudy,serosanguinous}
@attribute abdomcentesis_total_protein {'\'All\''}
@attribute outcome {lived,died,euthanized}
@attribute surgical_lesion {yes,no}

@data
yes,adult,'\'All\'','\'(-inf-58]\'','\'All\'',normal,normal,'pale pink',<3,'intermittent mild pain',absent,none,slight,none,'\'All\'',normal,'distended small intestine','\'All\'','\'All\'',clear,'\'All\'',lived,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'All\'',warm,normal,'bright pink',<3,depressed,hypomotile,moderate,slight,<1l,'\'All\'',absent,'distended large intestine','\'All\'','\'All\'',cloudy,'\'All\'',lived,yes
no,adult,'\'All\'','\'(58-inf)\'','\'All\'',cold,reduced,'dark cyanotic',>=3,depressed,absent,moderate,none,none,'\'All\'',absent,'distended large intestine','\'All\'','\'All\'',cloudy,'\'All\'',euthanized,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'All\'',warm,normal,'pale cyanotic',<3,'intermittent mild pain',hypomotile,moderate,slight,>1l,'\'All\'',decreased,'distended small intestine','\'All\'','\'All\'',cloudy,'\'All\'',lived,yes
no,adult,'\'All\'','\'(58-inf)\'','\'All\'',cool,normal,'pale pink',>=3,depressed,normal,none,slight,none,'\'All\'',absent,'firm feces in large intestine','\'All\'','\'All\'',serosanguinous,'\'All\'',lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'All\'',cool,reduced,'pale pink',<3,'intermittent severe pain',absent,moderate,slight,none,'\'All\'',decreased,'distended large intestine','\'All\'','\'All\'',serosanguinous,'\'All\'',lived,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'All\'',cool,normal,'normal pink',>=3,'alert no pain',hypermotile,none,slight,none,'\'All\'',absent,other,'\'All\'','\'All\'',serosanguinous,'\'All\'',lived,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'All\'',cool,normal,'normal pink',<3,'intermittent severe pain',hypomotile,none,slight,none,'\'All\'',decreased,'distended large intestine','\'All\'','\'All\'',cloudy,'\'All\'',lived,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'All\'',cool,normal,'pale cyanotic',<3,depressed,hypomotile,moderate,slight,<1l,'\'All\'',absent,'distended small intestine','\'All\'','\'All\'',serosanguinous,'\'All\'',euthanized,yes
yes,young,'\'All\'','\'(58-inf)\'','\'All\'',cold,absent,'dark cyanotic',<3,'intermittent mild pain',hypomotile,moderate,slight,none,'\'All\'',normal,'distended large intestine','\'All\'','\'All\'',serosanguinous,'\'All\'',died,yes
no,adult,'\'All\'','\'(58-inf)\'','\'All\'',normal,normal,'pale pink',<3,depressed,hypomotile,slight,none,>1l,'\'All\'',decreased,'distended large intestine','\'All\'','\'All\'',cloudy,'\'All\'',euthanized,no
yes,adult,'\'All\'','\'(-inf-58]\'','\'All\'',warm,normal,'pale pink',<3,depressed,hypomotile,none,slight,none,'\'All\'',absent,'distended large intestine','\'All\'','\'All\'',cloudy,'\'All\'',euthanized,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'All\'',normal,normal,'normal pink',<3,'alert no pain',normal,none,none,none,'\'All\'',normal,'distended large intestine','\'All\'','\'All\'',cloudy,'\'All\'',lived,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'All\'',cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,none,slight,none,'\'All\'',absent,'distended large intestine','\'All\'','\'All\'',cloudy,'\'All\'',lived,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'All\'',cool,normal,'normal pink',<3,'intermittent mild pain',absent,moderate,slight,>1l,'\'All\'',absent,'distended large intestine','\'All\'','\'All\'',cloudy,'\'All\'',lived,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'All\'',cold,reduced,'normal pink',>=3,depressed,absent,none,slight,none,'\'All\'',absent,'distended large intestine','\'All\'','\'All\'',serosanguinous,'\'All\'',lived,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'All\'',cool,normal,'pale pink',<3,'intermittent severe pain',hypermotile,none,none,none,'\'All\'',absent,'distended large intestine','\'All\'','\'All\'',cloudy,'\'All\'',euthanized,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'All\'',normal,normal,'pale pink',<3,'intermittent mild pain',hypomotile,moderate,slight,<1l,'\'All\'',absent,'distended large intestine','\'All\'','\'All\'',cloudy,'\'All\'',lived,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'All\'',normal,normal,'pale cyanotic',<3,'continuous severe pain',hypomotile,moderate,slight,<1l,'\'All\'',absent,'distended large intestine','\'All\'','\'All\'',clear,'\'All\'',lived,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'All\'',cool,normal,'normal pink',<3,'alert no pain',hypermotile,slight,slight,none,'\'All\'',decreased,other,'\'All\'','\'All\'',cloudy,'\'All\'',lived,no
yes,young,'\'All\'','\'(58-inf)\'','\'All\'',cold,absent,'dark cyanotic',<3,'intermittent mild pain',hypomotile,moderate,slight,none,'\'All\'',normal,'distended large intestine','\'All\'','\'All\'',serosanguinous,'\'All\'',died,yes
no,adult,'\'All\'','\'(58-inf)\'','\'All\'',normal,normal,'pale pink',<3,'intermittent severe pain',normal,slight,none,none,'\'All\'',absent,'distended large intestine','\'All\'','\'All\'',clear,'\'All\'',lived,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'All\'',normal,normal,'normal pink',<3,'alert no pain',hypomotile,none,slight,none,'\'All\'',decreased,'firm feces in large intestine','\'All\'','\'All\'',cloudy,'\'All\'',lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'All\'',normal,normal,'bright pink',<3,depressed,hypermotile,none,none,none,'\'All\'',normal,'distended small intestine','\'All\'','\'All\'',serosanguinous,'\'All\'',euthanized,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'All\'',cool,normal,'pale pink',<3,'alert no pain',hypermotile,none,slight,none,'\'All\'',absent,normal,'\'All\'','\'All\'',cloudy,'\'All\'',lived,no
no,adult,'\'All\'','\'(58-inf)\'','\'All\'',cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,slight,none,<1l,'\'All\'',absent,'distended large intestine','\'All\'','\'All\'',cloudy,'\'All\'',died,yes
